activity_date,customer_id,product_id,sevc_id,action,yrmoda
2025-05-02,ENTID_12507408,JP_708127-420004,a30VS0000080SZBYA2,Delivered,2025-05-02
2025-05-01,ENTID_12515586,JP_708127-420004,a30VS000007ziksYAA,Delivered,2025-05-01
2025-05-01,ENTID_12515586,JP_708127-420004,a30VS000007ziksYAA,Opened,2025-05-01
2025-08-08,ENTID_12515913,JP_708127-420004,a30VS000009SXlSYAW,Delivered,2025-08-08
2025-08-08,ENTID_12515913,JP_708127-420004,a30VS000009SXlSYAW,Opened,2025-08-08
2025-08-04,ENTID_12518435,JP_708127-420004,a30VS000009OOs2YAG,Delivered,2025-08-04
2025-08-04,ENTID_12518435,JP_708127-420004,a30VS000009PC0nYAG,Delivered,2025-08-04
2025-04-21,ENTID_12523172,JP_708127-420004,a30VS000007qnLZYAY,Delivered,2025-04-21
2025-04-21,ENTID_12523172,JP_708127-420004,a30VS000007qnLZYAY,Opened,2025-04-21
2025-05-28,ENTID_12523172,JP_708127-420004,a30VS000008O8MQYA0,Delivered,2025-05-28
2025-05-28,ENTID_12523172,JP_708127-420004,a30VS000008O8MQYA0,Opened,2025-05-28
2025-04-04,ENTID_12523954,JP_708127-420004,a30VS000007bjN8YAI,Delivered,2025-04-04
2025-04-04,ENTID_12523954,JP_708127-420004,a30VS000007bjN8YAI,Opened,2025-04-04
2025-05-02,ENTID_12525171,JP_708127-420004,a30VS0000080SVxYAM,Delivered,2025-05-02
2025-06-04,ENTID_12528237,JP_708127-420004,a30VS000008UnujYAC,Delivered,2025-06-04
2025-04-14,ENTID_12530325,JP_708127-420004,a30VS000007kpebYAA,Delivered,2025-04-14
2025-05-01,ENTID_12530325,JP_708127-420004,a30VS000007zsDxYAI,Delivered,2025-05-01
2025-05-01,ENTID_12530325,JP_708127-420004,a30VS000007zsDxYAI,Opened,2025-05-01
2025-05-01,ENTID_12532316,JP_708127-420004,a30VS000007ziZaYAI,Delivered,2025-05-01
2025-03-20,ENTID_12539109,JP_708127-420004,a30VS000007GaTJYA0,Delivered,2025-03-20
